DESCRIPTION,DATE_OF_VAC_ORDER,BLDG_TX_BORO,AKA_ADDRESS,BLDG_COMMUNITY_DIST,COUNCIL_DISTRICT,BIN,BBL,LST_COMPL_INSP_DATE,STATUS_CHANGE_DATE,OCPCY_DESC,lat,lon,Year Built,Building Age Category,Count
Dismissal,01/08/2010,QN,"90-16 138 PLACE, QN",412.0,24.0,4213720,4099770010,04/30/2012,05/19/2012,Residential,40.7007399,-73.8134288,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,01/27/2010,BX,"12 WEST CLIFFORD PLACE, BX ;1698 DAVIDSON AVENUE, BX",205.0,14.0,2008349,2028610024,03/21/2012,04/19/2012,Residential,40.8469063,-73.9137455,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,01/29/2010,BX,"452 COSTER STREET, BX",202.0,17.0,2006905,2027720079,02/26/2013,03/09/2013,Residential,40.809716,-73.8859458,0.0,Pre 1900,1
Dismissal,02/12/2010,BX,"366 BRONX PARK AVENUE, BX",206.0,15.0,2028372,2039080003,04/09/2012,04/19/2012,Residential,40.8390686,-73.8758558,1905.0,1900 to 1919 (Pre-war mid),1
Dismissal,02/16/2010,BX,"594 EAST 167 STREET, BX",203.0,16.0,2004266,2026130022,01/14/2013,03/09/2013,Residential,40.8284684,-73.9046492,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,02/18/2010,BX,"404 EAST 154 STREET, BX",201.0,17.0,2001368,2023750008,02/22/2013,03/09/2013,Residential,40.8192468,-73.9159564,1800.0,Pre 1900,1
Dismissal,02/21/2010,BK,"9817 FLATLAND AVENUE, BK ;9817 FLATLANDS AVENUE, BK",318.0,46.0,3229715,3081860003,08/07/2012,09/10/2012,Residential,40.6447275,-73.8994921,1935.0,1920 to 1939 (Pre-war late),1
Dismissal,02/23/2010,BK,"1312 BUSHWICK AVENUE, BK",304.0,37.0,3078980,3034140047,,03/09/2013,Residential,40.6861434,-73.9128285,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,03/16/2010,BX,"1233 BOYNTON AVENUE, BX",209.0,18.0,2025209,2037730061,06/12/2014,,Residential,40.8298248,-73.8787999,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,04/04/2010,BK,"970 EAST 89 STREET, BK",318.0,46.0,3225303,3080250068,08/17/2012,09/10/2012,Residential,40.6383263,-73.9055514,1960.0,1960 to 1979,1
Dismissal,04/11/2010,QN,"241-25 145 AVENUE, QN",413.0,31.0,4288001,4135490013,04/26/2012,05/19/2012,Residential,40.6601508,-73.7402379,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,04/23/2010,BK,"838 MONROE STREET, BK",303.0,41.0,3039657,3014810021,01/23/2015,,Residential,40.688456,-73.922554,0.0,Pre 1900,1
Dismissal,05/14/2010,BX,"2169-2199 WESTCHESTER AVENUE, BX ;2169-2181 WESTCHESTER AVENUE, BX ;1301-1317 CASTLE HILL AVENUE, BX ;2169-2181 WCHESTER AVENUE, BX",209.0,18.0,2029018,2039350001,01/22/2013,03/09/2013,Mercantile,40.8345037,-73.8522557,1939.0,1920 to 1939 (Pre-war late),1
Dismissal,06/21/2010,BK,"685 GREENE AVENUE, BK",303.0,36.0,3050315,3017960068,12/27/2013,,Residential,40.6898036,-73.9409894,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,07/23/2010,BK,"338 FLUSHING AVENUE, BK",303.0,33.0,3334521,3018810033,08/01/2012,09/05/2012,Factory/Industrial,40.698063,-73.9614337,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,07/23/2010,MN,"75 WEST 126 STREET, MN",110.0,9.0,1053542,1017240006,03/05/2013,03/09/2013,Residential,40.8083783,-73.944251,1909.0,1900 to 1919 (Pre-war mid),1
Dismissal,09/06/2010,QN,"85-50 91 STREET, QN",409.0,32.0,4182202,4088730019,08/20/2012,08/31/2012,Residential,40.6951752,-73.8545839,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,09/15/2010,QN,"90-03 196 STREET, QN",412.0,23.0,4222448,4104650009,02/23/2016,03/02/2016,Residential,40.7149308,-73.7642689,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,09/20/2010,QN,"130-05 94 AVENUE, QN ;130-11 ATLANTIC AVENUE, QN",409.0,28.0,4196970,4093750285,,03/16/2013,Factory/Industrial,40.6963099,-73.8185873,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,09/30/2010,BX,"1268 CROES AVENUE, BX",209.0,18.0,2025503,2037820018,02/13/2013,03/09/2013,Residential,40.8317045,-73.8708683,1927.0,1920 to 1939 (Pre-war late),1
